metric,asset,seed_0,mean
B_acf_abs_r_funct,7,0.0023788489429204273,0.00237885
B_acf_abs_r_funct_cvar90,0,27.81684158435671,27.81684158
B_acf_abs_r_funct_cvar90,1,24.470808784268954,24.47080878
B_acf_abs_r_funct_cvar90,2,31.28904117134832,31.28904117
B_acf_abs_r_funct_cvar90,3,90.84309860867354,90.84309861
B_acf_abs_r_funct_cvar90,4,58.44114504047293,58.44114504
B_acf_abs_r_funct_cvar90,5,64.44643848846971,64.44643849
B_acf_abs_r_funct_cvar90,6,77.82669096632937,77.82669097
B_acf_abs_r_funct_cvar90,7,115.86860835411727,115.86860835
B_acf_abs_r_funct_cvar95,0,35.99587335322743,35.99587335
B_acf_abs_r_funct_cvar95,1,26.058338983130035,26.05833898
B_acf_abs_r_funct_cvar95,2,31.908763493323256,31.90876349
B_acf_abs_r_funct_cvar95,3,93.90528024369446,93.90528024
B_acf_abs_r_funct_cvar95,4,59.46394227243723,59.46394227
B_acf_abs_r_funct_cvar95,5,64.92490714902006,64.92490715
B_acf_abs_r_funct_cvar95,6,80.02710671237735,80.02710671
B_acf_abs_r_funct_cvar95,7,117.84131287826386,117.84131288
B_acf_abs_r_funct_nrmse,0,15.219617233225094,15.21961723
B_acf_abs_r_funct_nrmse,1,18.88952200919745,18.88952201
B_acf_abs_r_funct_nrmse,2,23.43727083549488,23.43727084
B_acf_abs_r_funct_nrmse,3,69.0515427730255,69.05154277
B_acf_abs_r_funct_nrmse,4,44.10417709549543,44.1041771
B_acf_abs_r_funct_nrmse,5,46.34831858876772,46.34831859
B_acf_abs_r_funct_nrmse,6,64.53994584975568,64.53994585
B_acf_abs_r_funct_nrmse,7,89.32199605598765,89.32199606
B_acf_abs_r_funct_pct,0,711.2136222159111,711.21362222
B_acf_abs_r_funct_pct,1,321.55986939527094,321.5598694
B_acf_abs_r_funct_pct,2,325.3756590981365,325.3756591
B_acf_abs_r_funct_pct,3,626.3994770860228,626.39947709
B_acf_abs_r_funct_pct,4,1936.539497676775,1936.53949768
B_acf_abs_r_funct_pct,5,472.67428682457637,472.67428682
B_acf_abs_r_funct_pct,6,426.1821761980746,426.1821762
B_acf_abs_r_funct_pct,7,2375.892713102972,2375.8927131
B_acf_abs_r_sec_der,0,0.0004982119793985148,0.00049821
B_acf_abs_r_sec_der,1,0.0005020560342223081,0.00050206
B_acf_abs_r_sec_der,2,0.0004269060169778405,0.00042691
B_acf_abs_r_sec_der,3,0.0007690164695060295,0.00076902
B_acf_abs_r_sec_der,4,0.0004779157134942177,0.00047792
B_acf_abs_r_sec_der,5,0.0009554970454990977,0.0009555
B_acf_abs_r_sec_der,6,0.0005686141091708237,0.00056861
B_acf_abs_r_sec_der,7,0.0002635941591495734,0.00026359
B_acf_abs_r_sec_der_nrmse,0,75.61302641927048,75.61302642
B_acf_abs_r_sec_der_nrmse,1,84.62707197706288,84.62707198
B_acf_abs_r_sec_der_nrmse,2,92.70901648757366,92.70901649
B_acf_abs_r_sec_der_nrmse,3,161.77310008273182,161.77310008
B_acf_abs_r_sec_der_nrmse,4,101.9233829902023,101.92338299
B_acf_abs_r_sec_der_nrmse,5,172.12635707826132,172.12635708
B_acf_abs_r_sec_der_nrmse,6,119.65702550042418,119.6570255
B_acf_abs_r_sec_der_nrmse,7,133.63318457238893,133.63318457
B_acf_abs_r_sec_der_pct,0,107.86209510741476,107.86209511
B_acf_abs_r_sec_der_pct,1,101.9807653352232,101.98076534
B_acf_abs_r_sec_der_pct,2,104.46138681865511,104.46138682
B_acf_abs_r_sec_der_pct,3,99.21129433919909,99.21129434
B_acf_abs_r_sec_der_pct,4,97.67090932117739,97.67090932
B_acf_abs_r_sec_der_pct,5,104.86026401062614,104.86026401
B_acf_abs_r_sec_der_pct,6,90.4730868580693,90.47308686
B_acf_abs_r_sec_der_pct,7,99.45638577492255,99.45638577
B_acf_sq_r_der,0,8.201829388104264e-05,8.202e-05
B_acf_sq_r_der,1,8.244867589220953e-05,8.245e-05
B_acf_sq_r_der,2,6.895399134927947e-05,6.895e-05
B_acf_sq_r_der,3,0.00011725657976213318,0.00011726
B_acf_sq_r_der,4,7.693028570980907e-05,7.693e-05
B_acf_sq_r_der,5,0.00013341737627076282,0.00013342
B_acf_sq_r_der,6,0.00010096462936298256,0.00010096
B_acf_sq_r_der,7,5.606523646270833e-05,5.607e-05
B_acf_sq_r_der_nrmse,0,40.89543811144166,40.89543811
B_acf_sq_r_der_nrmse,1,37.295448606951325,37.29544861
B_acf_sq_r_der_nrmse,2,40.75139712359404,40.75139712
B_acf_sq_r_der_nrmse,3,54.68208544794436,54.68208545
B_acf_sq_r_der_nrmse,4,43.58734279354578,43.58734279
B_acf_sq_r_der_nrmse,5,56.97335194817536,56.97335195
B_acf_sq_r_der_nrmse,6,66.71517155334398,66.71517155
B_acf_sq_r_der_nrmse,7,37.01055991818652,37.01055992
B_acf_sq_r_der_pct,0,530.1937868008523,530.1937868
B_acf_sq_r_der_pct,1,195.95731294869515,195.95731295
B_acf_sq_r_der_pct,2,137.536598740275,137.53659874
B_acf_sq_r_der_pct,3,122.9639375686197,122.96393757
B_acf_sq_r_der_pct,4,223.69861529081447,223.69861529
B_acf_sq_r_der_pct,5,116.04383955483517,116.04383955
B_acf_sq_r_der_pct,6,93.29811297348112,93.29811297
B_acf_sq_r_der_pct,7,137.4729054892903,137.47290549
B_acf_sq_r_funct,0,0.00027549862025934974,0.0002755
B_acf_sq_r_funct,1,0.0004203197379672893,0.00042032
B_acf_sq_r_funct,2,0.0005059970364446884,0.000506
B_acf_sq_r_funct,3,0.0015509090728461439,0.00155091
B_acf_sq_r_funct,4,0.0009617200909630204,0.00096172
B_acf_sq_r_funct,5,0.0009524059630043118,0.00095241
B_acf_sq_r_funct,6,0.001083874118366255,0.00108387
B_acf_sq_r_funct,7,0.0015907353741499049,0.00159074
B_acf_sq_r_funct_cvar90,0,31.034802617559603,31.03480262
B_acf_sq_r_funct_cvar90,1,36.10982773364612,36.10982773
B_acf_sq_r_funct_cvar90,2,49.64367002835043,49.64367003
B_acf_sq_r_funct_cvar90,3,96.7968807130235,96.79688071
B_acf_sq_r_funct_cvar90,4,65.18827405454795,65.18827405
B_acf_sq_r_funct_cvar90,5,69.76634413735341,69.76634414
B_acf_sq_r_funct_cvar90,6,83.32708246584846,83.32708247
B_acf_sq_r_funct_cvar90,7,105.16021230225867,105.1602123
B_acf_sq_r_funct_cvar95,0,32.8605878518959,32.86058785
B_acf_sq_r_funct_cvar95,1,39.20735440860046,39.20735441
B_acf_sq_r_funct_cvar95,2,51.79910950662304,51.79910951
B_acf_sq_r_funct_cvar95,3,99.6779139518611,99.67791395
B_acf_sq_r_funct_cvar95,4,69.23946164013492,69.23946164
B_acf_sq_r_funct_cvar95,5,72.26120791050585,72.26120791
B_acf_sq_r_funct_cvar95,6,87.58248528083894,87.58248528
B_acf_sq_r_funct_cvar95,7,105.75952321154847,105.75952321
B_acf_sq_r_funct_nrmse,0,23.154188341372674,23.15418834
B_acf_sq_r_funct_nrmse,1,26.873502322843645,26.87350232
B_acf_sq_r_funct_nrmse,2,36.08222552528034,36.08222553
B_acf_sq_r_funct_nrmse,3,68.25530324781856,68.25530325
B_acf_sq_r_funct_nrmse,4,49.351838701618576,49.3518387
B_acf_sq_r_funct_nrmse,5,48.973399830692834,48.97339983
B_acf_sq_r_funct_nrmse,6,65.23552103337582,65.23552103
B_acf_sq_r_funct_nrmse,7,80.25071360340536,80.2507136
B_acf_sq_r_funct_pct,0,2978.7656549589115,2978.76565496
B_acf_sq_r_funct_pct,1,675.9919514311791,675.99195143
B_acf_sq_r_funct_pct,2,1798.6472252174951,1798.64722522
B_acf_sq_r_funct_pct,3,712.2122300163627,712.21223002
B_acf_sq_r_funct_pct,4,2495.2272423196832,2495.22724232
B_acf_sq_r_funct_pct,5,10750.116886677431,10750.11688668
B_acf_sq_r_funct_pct,6,1603.463309354121,1603.46330935
B_acf_sq_r_funct_pct,7,1314.5358542194197,1314.53585422
B_acf_sq_r_sec_der,0,0.00023468531454254104,0.00023469
B_acf_sq_r_sec_der,1,0.0002543202113956201,0.00025432
B_acf_sq_r_sec_der,2,0.00022870951342034975,0.00022871
B_acf_sq_r_sec_der,3,0.0004266347718586176,0.00042663
B_acf_sq_r_sec_der,4,0.00026923756850085086,0.00026924
B_acf_sq_r_sec_der,5,0.00051711932336894,0.00051712
B_acf_sq_r_sec_der,6,0.0003733839852157214,0.00037338
B_acf_sq_r_sec_der,7,0.00018382592699550334,0.00018383
B_acf_sq_r_sec_der_nrmse,0,76.6819027746942,76.68190277
B_acf_sq_r_sec_der_nrmse,1,70.71816068089547,70.71816068
B_acf_sq_r_sec_der_nrmse,2,83.61763427304535,83.61763427
B_acf_sq_r_sec_der_nrmse,3,134.21355055723532,134.21355056
B_acf_sq_r_sec_der_nrmse,4,93.20067825894125,93.20067826
B_acf_sq_r_sec_der_nrmse,5,127.43756551334084,127.43756551
B_acf_sq_r_sec_der_nrmse,6,107.61944266113919,107.61944266
B_acf_sq_r_sec_der_nrmse,7,97.46563547982277,97.46563548
B_acf_sq_r_sec_der_pct,0,103.33676303168787,103.33676303
B_acf_sq_r_sec_der_pct,1,118.06723425970011,118.06723426
B_acf_sq_r_sec_der_pct,2,105.41209397247857,105.41209397
B_acf_sq_r_sec_der_pct,3,104.09129839647929,104.0912984
B_acf_sq_r_sec_der_pct,4,96.2418999850276,96.24189999
B_acf_sq_r_sec_der_pct,5,108.28170750757495,108.28170751
B_acf_sq_r_sec_der_pct,6,89.92962036977397,89.92962037
B_acf_sq_r_sec_der_pct,7,91.94660045875735,91.94660046
B_log_ret_hist_der,0,496465.6705448438,496465.67054484
B_log_ret_hist_der,1,15582.440829715306,15582.44082972
B_log_ret_hist_der,2,85829.56056830619,85829.56056831
B_log_ret_hist_der,3,67213.69128070975,67213.69128071
B_log_ret_hist_der,4,23010.260211209017,23010.26021121
B_log_ret_hist_der,5,31334.009334410475,31334.00933441
